t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.12083,90.01140,79.51241,1.08234,-0.15961,-0.00730,0.07811,1.27572,10.87500,60.00000,111.36259,0.99674,1.04846,0.00651,0.00000,0.00000,0.20000,0.00000,none
0.12500,90.01321,79.46604,1.08665,-0.16372,-0.00790,0.08351,1.31774,11.25000,60.00000,111.78396,1.01390,1.04665,0.00696,0.00000,0.00000,0.20000,0.00000,none
0.12917,90.01517,79.41910,1.09105,-0.16774,-0.00851,0.08909,1.35961,11.62500,60.00000,112.20590,1.03042,1.04459,0.00742,0.00000,0.00000,0.20000,0.00000,none
0.13333,90.01728,79.37163,1.09554,-0.17166,-0.00914,0.09484,1.40129,12.00000,60.00000,112.62837,1.04625,1.04225,0.00790,0.00000,0.00000,0.20000,0.00000,none
0.13750,90.01953,79.32368,1.10010,-0.17549,-0.00978,0.10077,1.44276,12.37500,60.00000,113.05132,1.06211,1.03992,0.00840,0.00000,0.00000,0.20000,0.00000,none
0.14167,90.02194,79.27523,1.10475,-0.17923,-0.01042,0.10687,1.48403,12.75000,60.00000,113.47477,1.07798,1.03763,0.00891,0.00000,0.00000,0.20000,0.00000,none
0.14583,90.02451,79.22630,1.10947,-0.18288,-0.01108,0.11313,1.52509,13.12500,60.00000,113.89870,1.09387,1.03537,0.00943,0.00000,0.00000,0.20000,0.00000,none
0.15000,90.02724,79.17688,1.11428,-0.18644,-0.01175,0.11957,1.56597,13.50000,60.00000,114.32312,1.10857,1.03257,0.00996,0.00000,0.00000,0.20000,0.00000,none
0.15417,90.03012,79.12705,1.11916,-0.18991,-0.01242,0.12618,1.60658,13.87500,60.00000,114.74795,1.12290,1.02962,0.01052,0.00000,0.00000,0.20000,0.00000,none
0.15833,90.03317,79.07683,1.12411,-0.19328,-0.01310,0.13296,1.64692,14.25000,60.00000,115.17317,1.13724,1.02670,0.01108,0.00000,0.00000,0.20000,0.00000,none
0.16250,90.03638,79.02620,1.12913,-0.19657,-0.01379,0.13991,1.68699,14.62500,60.00000,115.59880,1.15160,1.02380,0.01166,0.00000,0.00000,0.20000,0.00000,none
0.16667,90.03975,78.97518,1.13422,-0.19976,-0.01448,0.14702,1.72681,15.00000,60.00000,116.02482,1.16587,1.02090,0.01225,0.00000,0.00000,0.20000,0.00000,none
0.17083,90.04329,78.92377,1.13939,-0.20288,-0.01518,0.15430,1.76636,15.37500,60.00000,116.45123,1.17852,1.01721,0.01286,0.00000,0.00000,0.20000,0.00000,none
0.17500,90.04700,78.87207,1.14461,-0.20590,-0.01588,0.16174,1.80556,15.75000,60.00000,116.87793,1.19118,1.01355,0.01348,0.00000,0.00000,0.20000,0.00000,none
0.17917,90.05088,78.82005,1.14990,-0.20883,-0.01659,0.16934,1.84442,16.12500,60.00000,117.30495,1.20385,1.00991,0.01411,0.00000,0.00000,0.20000,0.00000,none
0.18333,90.05492,78.76774,1.15526,-0.21167,-0.01729,0.17711,1.88294,16.50000,60.00000,117.73226,1.21652,1.00632,0.01476,0.00000,0.00000,0.20000,0.00000,none
0.18750,90.05913,78.71511,1.16068,-0.21443,-0.01800,0.18503,1.92113,16.87500,60.00000,118.15989,1.22850,1.00239,0.01542,0.00000,0.00000,0.20000,0.00000,none
0.19167,90.06352,78.66222,1.16615,-0.21711,-0.01871,0.19312,1.95895,17.25000,60.00000,118.58778,1.23930,0.99787,0.01609,0.00000,0.00000,0.20000,0.00000,none
0.19583,90.06807,78.60913,1.17168,-0.21969,-0.01941,0.20136,1.99633,17.62500,60.00000,119.01587,1.25010,0.99338,0.01678,0.00000,0.00000,0.20000,0.00000,none
0.20000,90.07278,78.55582,1.17727,-0.22220,-0.02012,0.20975,2.03327,18.00000,60.00000,119.44418,1.26091,0.98893,0.01748,0.00000,0.00000,0.20000,0.00000,none
0.20417,90.07767,78.50231,1.18291,-0.22461,-0.02083,0.21830,2.06980,18.37500,60.00000,119.87269,1.27172,0.98452,0.01819,0.00000,0.00000,0.20000,0.00000,none
0.20833,90.08273,78.44857,1.18860,-0.22695,-0.02153,0.22700,2.10591,18.75000,60.00000,120.30143,1.28111,0.97937,0.01892,0.00000,0.00000,0.20000,0.00000,none
0.21250,90.08795,78.39470,1.19434,-0.22920,-0.02223,0.23585,2.14151,19.12500,60.00000,120.73030,1.28989,0.97392,0.01965,0.00000,0.00000,0.20000,0.00000,none
0.21667,90.09334,78.34072,1.20012,-0.23137,-0.02292,0.24485,2.17656,19.50000,60.00000,121.15928,1.29868,0.96852,0.02040,0.00000,0.00000,0.20000,0.00000,none
0.22083,90.09890,78.28662,1.20595,-0.23346,-0.02362,0.25399,2.21109,19.87500,60.00000,121.58838,1.30747,0.96315,0.02117,0.00000,0.00000,0.20000,0.00000,none
0.22500,90.10462,78.23241,1.21183,-0.23546,-0.02430,0.26327,2.24510,20.25000,60.00000,122.01759,1.31617,0.95779,0.02194,0.00000,0.00000,0.20000,0.00000,none
0.22917,90.11050,78.17808,1.21774,-0.23739,-0.02498,0.27269,2.27858,20.62500,60.00000,122.44692,1.32283,0.95131,0.02272,0.00000,0.00000,0.20000,0.00000,none
0.23333,90.11654,78.12373,1.22369,-0.23923,-0.02566,0.28226,2.31140,21.00000,60.00000,122.87627,1.32950,0.94488,0.02352,0.00000,0.00000,0.20000,0.00000,none
0.23750,90.12275,78.06937,1.22968,-0.24099,-0.02633,0.29195,2.34357,21.37500,60.00000,123.30563,1.33616,0.93850,0.02433,0.00000,0.00000,0.20000,0.00000,none
0.24167,90.12911,78.01498,1.23570,-0.24268,-0.02699,0.30179,2.37511,21.75000,60.00000,123.73502,1.34282,0.93217,0.02515,0.00000,0.00000,0.20000,0.00000,none
0.24583,90.13563,77.96056,1.24176,-0.24429,-0.02764,0.31175,2.40602,22.12500,60.00000,124.16444,1.34864,0.92540,0.02598,0.00000,0.00000,0.20000,0.00000,none
0.25000,90.14231,77.90616,1.24784,-0.24581,-0.02829,0.32183,2.43624,22.50000,60.00000,124.59384,1.35310,0.91791,0.02682,0.00000,0.00000,0.20000,0.00000,none
0.25417,90.14914,77.85184,1.25395,-0.24726,-0.02892,0.33205,2.46568,22.87500,60.00000,125.02316,1.35756,0.91047,0.02767,0.00000,0.00000,0.20000,0.00000,none
0.25833,90.15612,77.79758,1.26009,-0.24864,-0.02955,0.34238,2.49437,23.25000,60.00000,125.45242,1.36201,0.90309,0.02853,0.00000,0.00000,0.20000,0.00000,none
0.26250,90.16325,77.74340,1.26625,-0.24993,-0.03017,0.35283,2.52230,23.62500,60.00000,125.88160,1.36647,0.89577,0.02940,0.00000,0.00000,0.20000,0.00000,none
0.26667,90.17052,77.68927,1.27243,-0.25116,-0.03078,0.36340,2.54950,24.00000,60.00000,126.31073,1.36930,0.88756,0.03028,0.00000,0.00000,0.20000,0.00000,none
0.27083,90.17794,77.63529,1.27863,-0.25230,-0.03137,0.37408,2.57583,24.37500,60.00000,126.73971,1.37150,0.87905,0.03117,0.00000,0.00000,0.20000,0.00000,none
0.27500,90.18550,77.58147,1.28485,-0.25337,-0.03196,0.38486,2.60127,24.75000,60.00000,127.16853,1.37370,0.87062,0.03207,0.00000,0.00000,0.20000,0.00000,none
0.27917,90.19320,77.52782,1.29107,-0.25437,-0.03253,0.39575,2.62584,25.12500,60.00000,127.59718,1.37590,0.86226,0.03298,0.00000,0.00000,0.20000,0.00000,none
0.28333,90.20103,77.47431,1.29732,-0.25529,-0.03309,0.40674,2.64954,25.50000,60.00000,128.02569,1.37797,0.85390,0.03390,0.00000,0.00000,0.20000,0.00000,none
0.28750,90.20900,77.42097,1.30357,-0.25614,-0.03364,0.41783,2.67237,25.87500,60.00000,128.45403,1.37807,0.84445,0.03482,0.00000,0.00000,0.20000,0.00000,none
0.29167,90.21709,77.36787,1.30984,-0.25692,-0.03418,0.42901,2.69420,26.25000,60.00000,128.88213,1.37816,0.83508,0.03575,0.00000,0.00000,0.20000,0.00000,none
0.29583,90.22532,77.31502,1.31610,-0.25763,-0.03470,0.44028,2.71503,26.62500,60.00000,129.30998,1.37825,0.82580,0.03669,0.00000,0.00000,0.20000,0.00000,none
0.30000,90.23366,77.26240,1.32237,-0.25826,-0.03521,0.45163,2.73489,27.00000,60.00000,129.73760,1.37834,0.81662,0.03764,0.00000,0.00000,0.20000,0.00000,none
0.30417,90.24213,77.21001,1.32865,-0.25883,-0.03571,0.46307,2.75378,27.37500,60.00000,130.16499,1.37781,0.80715,0.03859,0.00000,0.00000,0.20000,0.00000,none
0.30833,90.25071,77.15787,1.33493,-0.25934,-0.03620,0.47458,2.77166,27.75000,60.00000,130.59213,1.37630,0.79720,0.03955,0.00000,0.00000,0.20000,0.00000,none
0.31250,90.25941,77.10603,1.34120,-0.25977,-0.03666,0.48616,2.78848,28.12500,60.00000,131.01897,1.37478,0.78735,0.04051,0.00000,0.00000,0.20000,0.00000,none
0.31667,90.26822,77.05448,1.34748,-0.26014,-0.03712,0.49781,2.80426,28.50000,60.00000,131.44552,1.37327,0.77761,0.04148,0.00000,0.00000,0.20000,0.00000,none
0.32083,90.27713,77.00320,1.35375,-0.26044,-0.03756,0.50953,2.81899,28.87500,60.00000,131.87180,1.37176,0.76797,0.04246,0.00000,0.00000,0.20000,0.00000,none
0.32500,90.28615,76.95220,1.36002,-0.26068,-0.03798,0.52130,2.83270,29.25000,60.00000,132.29780,1.36923,0.75785,0.04344,0.00000,0.00000,0.20000,0.00000,none
0.32917,90.29527,76.90152,1.36628,-0.26087,-0.03839,0.53313,2.84532,29.62500,60.00000,132.72348,1.36626,0.74758,0.04443,0.00000,0.00000,0.20000,0.00000,none
0.33333,90.30448,76.85118,1.37253,-0.26098,-0.03879,0.54501,2.85684,30.00000,60.00000,133.14882,1.36330,0.73742,0.04542,0.00000,0.00000,0.20000,0.00000,none
0.33750,90.31378,76.80115,1.37878,-0.26104,-0.03917,0.55694,2.86726,30.37500,60.00000,133.57385,1.36034,0.72739,0.04641,0.00000,0.00000,0.20000,0.00000,none
0.34167,90.32318,76.75145,1.38501,-0.26105,-0.03953,0.56890,2.87660,30.75000,60.00000,133.99855,1.35738,0.71748,0.04741,0.00000,0.00000,0.20000,0.00000,none
0.34583,90.33266,76.70205,1.39124,-0.26099,-0.03988,0.58091,2.88488,31.12500,60.00000,134.42295,1.35298,0.70685,0.04841,0.00000,0.00000,0.20000,0.00000,none
0.35000,90.34222,76.65303,1.39745,-0.26088,-0.04021,0.59294,2.89200,31.50000,60.00000,134.84697,1.34857,0.69635,0.04941,0.00000,0.00000,0.20000,0.00000,none
0.35417,90.35185,76.60438,1.40364,-0.26072,-0.04052,0.60501,2.89798,31.87500,60.00000,135.27062,1.34417,0.68598,0.05042,0.00000,0.00000,0.20000,0.00000,none
0.35833,90.36156,76.55609,1.40983,-0.26050,-0.04082,0.61709,2.90282,32.25000,60.00000,135.69391,1.33978,0.67575,0.05142,0.00000,0.00000,0.20000,0.00000,none
0.36250,90.37134,76.50815,1.41599,-0.26023,-0.04111,0.62919,2.90656,32.62500,60.00000,136.11685,1.33501,0.66543,0.05243,0.00000,0.00000,0.20000,0.00000,none
0.36667,90.38119,76.46058,1.42214,-0.25991,-0.04137,0.64131,2.90917,33.00000,60.00000,136.53942,1.32928,0.65470,0.05344,0.00000,0.00000,0.20000,0.00000,none
0.37083,90.39110,76.41341,1.42826,-0.25953,-0.04162,0.65343,2.91059,33.37500,60.00000,136.96159,1.32355,0.64411,0.05445,0.00000,0.00000,0.20000,0.00000,none
0.37500,90.40106,76.36665,1.43437,-0.25911,-0.04186,0.66556,2.91085,33.75000,60.00000,137.38335,1.31783,0.63367,0.05546,0.00000,0.00000,0.20000,0.00000,none
0.37917,90.41108,76.32027,1.44045,-0.25864,-0.04208,0.67769,2.90996,34.12500,60.00000,137.80473,1.31212,0.62338,0.05647,0.00000,0.00000,0.20000,0.00000,none
0.38333,90.42115,76.27428,1.44651,-0.25813,-0.04228,0.68981,2.90793,34.50000,60.00000,138.22572,1.30568,0.61283,0.05748,0.00000,0.00000,0.20000,0.00000,none
0.38750,90.43127,76.22870,1.45255,-0.25757,-0.04247,0.70192,2.90473,34.87500,60.00000,138.64630,1.29863,0.60208,0.05849,0.00000,0.00000,0.20000,0.00000,none
0.39167,90.44143,76.18356,1.45856,-0.25696,-0.04264,0.71401,2.90033,35.25000,60.00000,139.06644,1.29159,0.59149,0.05950,0.00000,0.00000,0.20000,0.00000,none
0.39583,90.45162,76.13885,1.46454,-0.25631,-0.04279,0.72609,2.89474,35.62500,60.00000,139.48615,1.28455,0.58105,0.06051,0.00000,0.00000,0.20000,0.00000,none
0.40000,90.46186,76.09457,1.47049,-0.25561,-0.04293,0.73813,2.88799,36.00000,60.00000,139.90543,1.27752,0.57078,0.06151,0.00000,0.00000,0.20000,0.00000,none
0.40417,90.47212,76.05070,1.47641,-0.25488,-0.04306,0.75015,2.88009,36.37500,60.00000,140.32430,1.26954,0.56013,0.06251,0.00000,0.00000,0.20000,0.00000,none
0.40833,90.48241,76.00729,1.48230,-0.25410,-0.04316,0.76213,2.87099,36.75000,60.00000,140.74271,1.26129,0.54951,0.06351,0.00000,0.00000,0.20000,0.00000,none
0.41250,90.49273,75.96435,1.48816,-0.25328,-0.04326,0.77407,2.86067,37.12500,60.00000,141.16065,1.25305,0.53905,0.06451,0.00000,0.00000,0.20000,0.00000,none
0.41667,90.50307,75.92187,1.49398,-0.25242,-0.04334,0.78597,2.84917,37.50000,60.00000,141.57813,1.24482,0.52875,0.06550,0.00000,0.00000,0.20000,0.00000,none
0.42083,90.51342,75.87984,1.49977,-0.25153,-0.04340,0.79781,2.83651,37.87500,60.00000,141.99516,1.23660,0.51863,0.06648,0.00000,0.00000,0.20000,0.00000,none
0.42500,90.52379,75.83826,1.50552,-0.25060,-0.04345,0.80960,2.82269,38.25000,60.00000,142.41174,1.22721,0.50805,0.06747,0.00000,0.00000,0.20000,0.00000,none
0.42917,90.53416,75.79718,1.51124,-0.24963,-0.04348,0.82133,2.80764,38.62500,60.00000,142.82782,1.21782,0.49764,0.06844,0.00000,0.00000,0.20000,0.00000,none
0.43333,90.54454,75.75659,1.51691,-0.24862,-0.04350,0.83300,2.79140,39.00000,60.00000,143.24341,1.20844,0.48740,0.06942,0.00000,0.00000,0.20000,0.00000,none
0.43750,90.55493,75.71649,1.52255,-0.24759,-0.04350,0.84459,2.77398,39.37500,60.00000,143.65851,1.19907,0.47734,0.07038,0.00000,0.00000,0.20000,0.00000,none
0.44167,90.56531,75.67687,1.52814,-0.24651,-0.04349,0.85611,2.75540,39.75000,60.00000,144.07313,1.18953,0.46736,0.07134,0.00000,0.00000,0.20000,0.00000,none
0.44583,90.57570,75.63773,1.53370,-0.24541,-0.04347,0.86755,2.73565,40.12500,60.00000,144.48727,1.17911,0.45710,0.07230,0.00000,0.00000,0.20000,0.00000,none
0.45000,90.58607,75.59912,1.53921,-0.24427,-0.04344,0.87891,2.71470,40.50000,60.00000,144.90088,1.16871,0.44703,0.07324,0.00000,0.00000,0.20000,0.00000,none
0.45417,90.59643,75.56103,1.54467,-0.24310,-0.04339,0.89017,2.69257,40.87500,60.00000,145.31397,1.15832,0.43714,0.07418,0.00000,0.00000,0.20000,0.00000,none
0.45833,90.60678,75.52345,1.55009,-0.24190,-0.04332,0.90134,2.66928,41.25000,60.00000,145.72655,1.14794,0.42743,0.07511,0.00000,0.00000,0.20000,0.00000,none
0.46250,90.61712,75.48637,1.55546,-0.24068,-0.04325,0.91241,2.64485,41.62500,60.00000,146.13863,1.13725,0.41773,0.07603,0.00000,0.00000,0.20000,0.00000,none
0.46667,90.62743,75.44981,1.56078,-0.23942,-0.04316,0.92338,2.61926,42.00000,60.00000,146.55019,1.12592,0.40790,0.07695,0.00000,0.00000,0.20000,0.00000,none
